TIME,OPEN(T),HIGH(t),LOW(t),CLOSE(t)
10:12:20,86520,86540,86520,86540
10:12:21,86530,86540,86530,86540
10:12:22,86530,86530,86520,86530
10:12:23,86530,86530,86530,86530
10:12:24,86530,86540,86530,86530
10:12:25,86530,86540,86510,86510
10:12:26,86530,86530,86510,86510
10:12:27,86510,86520,86510,86520
10:12:28,86520,86520,86500,86500
10:12:29,86490,86500,86490,86500
10:12:30,86500,86500,86490,86500
10:12:31,86500,86500,86500,86500
10:12:32,86490,86510,86490,86510
10:12:33,86490,86490,86490,86510
10:12:34,86510,86520,86510,86520
10:12:35,86510,86520,86510,86520
10:12:36,86520,86520,86520,86510
10:12:37,86520,86520,86520,86520
10:12:38,86530,86530,86530,86530
10:12:39,86520,86520,86520,86520
10:12:40,86530,86530,86530,86530
10:12:41,86520,86520,86510,86510
10:12:44,86530,86530,86530,86530
10:12:45,86530,86530,86530,86530
10:12:46,86530,86530,86530,86530
10:12:47,86530,86540,86520,86510
10:12:48,86520,86520,86510,86510
10:12:49,86520,86520,86510,86510
10:12:50,86510,86510,86510,86520
10:12:51,86520,86520,86520,86520
10:12:53,86520,86540,86520,86540
10:12:54,86540,86540,86520,86530
10:12:55,86530,86530,86530,86530
10:12:57,86530,86560,86530,86560
10:12:58,86560,86560,86550,86560
10:12:59,86560,86570,86560,86570
10:13:00,86570,86570,86550,86570
10:13:01,86560,86560,86550,86550
10:13:02,86540,86560,86530,86560
10:13:03,86540,86540,86540,86540
10:13:04,86540,86540,86520,86530
10:13:05,86520,86520,86520,86520
10:13:06,86510,86520,86510,86510
